case_id,stored_dept,corrected_dept,confidence,county_dept,panel_dept,panel_used
75866,,3,MED,3,,0
75869,,1,MED,1,,0
75894,,1,MED,1,,0
75902,,3,MED,3,,0
75906,,1,MED,1,,0
75921,,3,MED,3,,0
75923,,2,MED,2,,0
75951,,1,MED,1,,0
75965,,4,MED,4,,0
75985,,4,MED,4,,0
75991,,1,MED,1,,0
76010,,3,MED,3,,0
76021,,1,MED,1,,0
76042,,1,MED,1,,0
76072,,3,MED,3,,0
76090,,2,MED,2,,0
76129,,3,MED,3,,0
76136,,1,MED,1,,0
76137,,1,MED,1,,0
76140,,1,MED,1,,0
76145,,1,MED,1,,0
76158,,3,MED,3,,0
76184,,1,MED,1,,0
109723,,1,MED,1,,0
109735,,2,MED,2,,0
109745,,4,MED,4,,0
109753,,1,MED,1,,0
109778,,3,MED,3,,0
109805,,4,MED,4,3,2
109810,,4,MED,4,,0
109815,,2,MED,2,,0
109825,,1,MED,1,,0
109857,,2,MED,2,,0
109859,,1,MED,1,,0
109870,,2,MED,2,,0
109906,,1,MED,1,,0
109914,,2,MED,2,,0
109916,,3,MED,3,,0
109962,,1,MED,1,,0
165615,,4,MED,4,,0
165621,,1,MED,1,,0
165631,,2,MED,2,,0
165635,,4,MED,4,,0
165637,,2,MED,2,,0
165654,,2,MED,2,,0
165681,,1,MED,1,,0
165696,,3,MED,3,3,2
165719,,3,MED,3,3,2
165756,,4,MED,4,,0
165779,,2,MED,2,,0
165782,,4,MED,4,,0
165797,,2,MED,2,,0
165807,,4,MED,4,3,2
165818,,3,MED,3,,0
165840,,2,MED,2,3,2
188381,,1,MED,1,,0
188433,,1,MED,1,,0
188458,,4,MED,4,3,2
188459,,1,MED,1,,0
188534,,3,MED,3,3,2
188556,,1,MED,1,,0
188565,,1,MED,1,,0
188573,,4,MED,4,,0
188574,,1,MED,1,,0
188584,,1,MED,1,,0
188595,,2,MED,2,,0
188644,,1,MED,1,,0
203001,,2,MED,2,3,1
203106,,2,MED,2,3,1
203111,,1,MED,1,,0
203138,,2,MED,2,,0
203188,,2,MED,2,,0
203201,,3,MED,3,3,1
282453,,1,MED,1,,0
282489,,1,MED,1,,0
282536,,3,MED,3,,0
282552,,2,MED,2,3,1
282566,,3,MED,3,,0
282569,,2,MED,2,,0
282598,,2,MED,2,3,1
282604,,4,MED,4,,0
282606,,2,MED,2,3,1
282620,,1,MED,1,,0
295004,,2,MED,2,,0
295021,,1,MED,1,,0
295045,,2,MED,2,3,1
295079,,2,MED,2,,0
319929,,2,MED,2,,0
319975,,4,MED,4,,0
320020,,3,MED,3,,0
320044,,2,MED,2,,0
320046,,1,MED,1,,0
320163,,2,MED,2,,0
320231,,1,MED,1,,0
320249,,2,MED,2,,0
320298,,3,MED,3,3,2
320300,,1,MED,1,,0
320306,,1,MED,1,,0
320308,,2,MED,2,,0
320313,,4,MED,4,3,2
456511,,1,MED,1,,0
456524,,1,MED,1,,0
456526,,1,MED,1,,0
456537,,3,MED,3,,0
456548,,1,MED,1,,0
456564,,2,MED,2,,0
456607,,1,MED,1,,0
456656,,2,MED,2,,0
456676,,2,MED,2,,0
525041,,1,MED,1,,0
525062,,3,MED,3,,0
525068,,1,MED,1,,0
525070,,2,MED,2,,0
525080,,4,MED,4,,0
525091,,1,MED,1,,0
525092,,3,MED,3,,0
525104,,1,MED,1,,0
525125,,1,MED,1,,0
525174,,2,MED,2,,0
525179,,2,MED,2,,0
579574,,2,MED,2,,0
579585,,1,MED,1,,0
579638,,1,MED,1,,0
579641,,2,MED,2,,0
579675,,2,MED,2,,0
579697,,2,MED,2,,0
579705,,2,MED,2,,0
618638,,4,MED,4,,0
618657,,4,MED,4,,0
618696,,2,MED,2,,0
618702,,4,MED,4,,0
618721,,4,MED,4,,0
618722,,1,MED,1,,0
618841,,1,MED,1,,0
618869,,4,MED,4,,0
725002,,1,MED,1,,0
725023,,2,MED,2,,0
725025,,1,MED,1,,0
725053,,2,MED,2,,0
725055,,1,MED,1,,0
725085,,4,MED,4,3,2
725121,,1,MED,1,,0
725122,,4,MED,4,3,2
725129,,1,MED,1,,0
725142,,2,MED,2,,0
725196,,1,MED,1,,0
725209,,2,MED,2,,0
983958,,3,MED,3,,0
984026,,1,MED,1,,0
1061672,,2,MED,2,,0
1061704,,3,MED,3,,0
1061756,,3,MED,3,,0
1061798,,2,MED,2,,0
1101097,,2,MED,2,,0
1101116,,2,MED,2,,0
1101117,,1,MED,1,,0
1101136,,2,MED,2,,0
1101160,,1,MED,1,,0
1101168,,3,MED,3,,0
1101172,,1,MED,1,,0
1101181,,2,MED,2,,0
1101187,,1,MED,1,,0
1101216,,1,MED,1,,0
1101217,,1,MED,1,,0
1101218,,4,MED,4,,0
1101240,,2,MED,2,,0
1101256,,1,MED,1,,0
1101261,,2,MED,2,,0
1101273,,2,MED,2,,0
1101275,,2,MED,2,,0
1101295,,2,MED,2,,0
1101298,,1,MED,1,,0
1101301,,2,MED,2,,0
1188868,,4,MED,4,,0
1188979,,2,MED,2,,0
1189017,,4,MED,4,,0
1189058,,2,MED,2,,0
1189116,,4,MED,4,3,1
1189166,,4,MED,4,,0
1189230,,4,MED,4,,0
1189319,,2,MED,2,,0
1189331,,2,MED,2,,0
1189457,,3,MED,3,,0
1249164,,1,MED,1,,0
1249234,,3,MED,3,,0
1961176,,2,MED,2,,0
1996346,,2,MED,2,,0
2002620,,1,MED,1,,0
2022950,,2,MED,2,,0
2034003,,1,MED,1,,0
2039595,,1,MED,1,,0
2045218,,1,MED,1,,0
2047753,,2,MED,2,,0
2049186,,1,MED,1,,0
2054060,,4,MED,4,,0
2056350,,2,MED,2,,0
2058550,,2,MED,2,,0
2058728,,1,MED,1,,0
2060667,,2,MED,2,,0
2062532,,4,MED,4,,0
2064458,,2,MED,2,,0
2064526,,1,MED,1,,0
2064596,,2,MED,2,,0
2064654,,3,MED,3,,0
2066921,,2,MED,2,,0
2066995,,1,MED,1,,0
2067350,,3,MED,3,,0
2071970,,3,MED,3,,0
2071973,,4,MED,4,,0
2072041,,1,MED,1,,0
2074260,,1,MED,1,,0
2076686,,1,MED,1,,0
2076713,,4,MED,4,,0
2076842,,3,MED,3,,0
2078637,,1,MED,1,,0
2078682,,2,MED,2,,0
2078696,,1,MED,1,,0
2078698,,3,MED,3,,0
2078959,,4,MED,4,,0
2080270,,1,MED,1,,0
2080402,,3,MED,3,,0
2080464,,4,MED,4,,0
2175606,,2,MED,2,,0
2175659,,3,MED,3,,0
2175660,,3,MED,3,,0
2175690,,2,MED,2,,0
2175711,,2,MED,2,,0
2175731,,2,MED,2,,0
2175758,,4,MED,4,4,1
2175766,,2,MED,2,,0
2222767,,4,MED,4,,0
2225416,,1,MED,1,,0
2225453,,2,MED,2,,0
2225460,,2,MED,2,,0
2227368,,2,MED,2,,0
2227381,,1,MED,1,,0
2227387,,2,MED,2,,0
2227389,,1,MED,1,,0
2227400,,1,MED,1,,0
2227447,,1,MED,1,,0
2229644,,1,MED,1,,0
2229790,,1,MED,1,,0
2229810,,2,MED,2,,0
2232179,,1,MED,1,,0
2232196,,1,MED,1,,0
2232200,,1,MED,1,,0
2232238,,2,MED,2,,0
2232298,,1,MED,1,,0
2232359,,1,MED,1,,0
2232531,,4,MED,4,,0
2232539,,2,MED,2,,0
2233981,,1,MED,1,,0
2234062,,1,MED,1,,0
2234082,,1,MED,1,,0
2234111,,2,MED,2,,0
2234128,,3,MED,3,,0
2234154,,1,MED,1,,0
2234172,,1,MED,1,,0
2234346,,3,MED,3,,0
2236454,,1,MED,1,,0
2236467,,2,MED,2,,0
2236470,,2,MED,2,,0
