case_id,volume,decision_date,stored_dept,corrected_dept,confidence,county,panel_dept,panel_used,panel
12285913,157AD3d,2018-01-02,2,1,HIGH,new york,1,5,Manzanet-Daniels; Mazzarelli; Andrias; Gesmer; Oing
12285928,157AD3d,2018-01-02,2,1,HIGH,new york,1,5,Manzanet-Daniels; Mazzarelli; Andrias; Gesmer; Oing
12285944,157AD3d,2018-01-02,2,1,HIGH,new york,1,5,Manzanet-Daniels; Mazzarelli; Andrias; Gesmer; Oing
12285980,157AD3d,2018-01-02,2,1,HIGH,new york,1,5,Richter; Tom; Kapnick; Kern; Moulton
12286052,157AD3d,2018-01-02,2,1,HIGH,bronx,1,5,Richter; Tom; Kapnick; Kern; Moulton
12286064,157AD3d,2018-01-02,2,1,HIGH,new york,1,5,Richter; Tom; Kapnick; Kern; Moulton
12286118,157AD3d,2018-01-02,2,1,HIGH,new york,1,5,Richter; Tom; Kapnick; Kern; Moulton
12286135,157AD3d,2018-01-02,2,1,HIGH,new york,1,5,Richter; Tom; Kapnick; Kern; Moulton
12286178,157AD3d,2018-01-02,2,1,HIGH,new york,1,5,Richter; Tom; Kapnick; Kern; Moulton
12286195,157AD3d,2018-01-02,2,1,HIGH,new york,1,5,Richter; Tom; Kapnick; Kern; Moulton
12286227,157AD3d,2018-01-02,2,1,HIGH,new york,1,5,Renwick; Manzanet-Daniels; Gische; Kahn; Singh
12286448,157AD3d,2018-01-04,2,1,HIGH,new york,1,5,Friedman; Renwick; Tom; Kahn; Kern
12286458,157AD3d,2018-01-04,2,1,HIGH,new york,1,5,Friedman; Renwick; Tom; Kahn; Kern
12286467,157AD3d,2018-01-04,2,1,HIGH,new york,1,5,Renwick; Manzanet-Daniels; Gische; Kahn; Singh
12286485,157AD3d,2018-01-04,2,1,HIGH,new york,1,5,Renwick; Manzanet-Daniels; Gische; Kahn; Singh
12286528,157AD3d,2018-01-04,2,1,HIGH,new york+bronx,1,5,Renwick; Manzanet-Daniels; Gische; Kahn; Singh
12286541,157AD3d,2018-01-04,2,1,HIGH,bronx+new york,1,5,Renwick; Manzanet-Daniels; Gische; Kahn; Singh
12286552,157AD3d,2018-01-04,2,1,HIGH,new york+bronx,1,5,Renwick; Manzanet-Daniels; Gische; Kahn; Singh
12286563,157AD3d,2018-01-04,2,1,HIGH,bronx,1,5,Renwick; Manzanet-Daniels; Gische; Kahn; Singh
12286594,157AD3d,2018-01-04,2,1,HIGH,new york,1,5,Renwick; Manzanet-Daniels; Gische; Kahn; Singh
12286618,157AD3d,2018-01-04,2,1,HIGH,new york,1,5,Renwick; Manzanet-Daniels; Gische; Kahn; Singh
12286631,157AD3d,2018-01-04,2,1,HIGH,new york+bronx,1,5,Renwick; Manzanet-Daniels; Gische; Kahn; Singh
12286660,157AD3d,2018-01-04,2,1,HIGH,bronx,1,5,Renwick; Manzanet-Daniels; Gische; Kahn; Singh
12286674,157AD3d,2018-01-04,2,1,HIGH,new york,1,4,Renwick; Manzanet-Daniels; Gische; Singh
12286686,157AD3d,2018-01-04,2,1,HIGH,new york,1,5,Renwick; Manzanet-Daniels; Gische; Kahn; Singh
12286702,157AD3d,2018-01-04,2,1,HIGH,new york+bronx,1,5,Renwick; Manzanet-Daniels; Gische; Kahn; Singh
12286713,157AD3d,2018-01-04,2,1,HIGH,bronx,1,5,Renwick; Manzanet-Daniels; Gische; Kahn; Singh
12286767,157AD3d,2018-01-09,2,1,HIGH,new york,1,5,Friedman; Renwick; Tom; Kahn; Kern
12286783,157AD3d,2018-01-09,2,1,HIGH,new york,1,5,Richter; Tom; Kapnick; Kern; Moulton
12286796,157AD3d,2018-01-09,2,1,HIGH,new york+bronx,1,5,Friedman; Richter; Gesmer; Kern; Moulton
12286815,157AD3d,2018-01-09,2,1,HIGH,bronx,1,5,Friedman; Richter; Gesmer; Kern; Moulton
12286853,157AD3d,2018-01-09,2,1,HIGH,bronx,1,5,Friedman; Richter; Gesmer; Kern; Moulton
12286878,157AD3d,2018-01-09,2,1,HIGH,new york,1,5,Friedman; Richter; Gesmer; Kern; Moulton
12286895,157AD3d,2018-01-09,2,1,HIGH,new york,1,5,Friedman; Richter; Gesmer; Kern; Moulton
12286915,157AD3d,2018-01-09,2,1,HIGH,bronx+new york,1,5,Friedman; Richter; Gesmer; Kern; Moulton
12286944,157AD3d,2018-01-09,2,1,HIGH,new york,1,5,Friedman; Richter; Gesmer; Kern; Moulton
12286979,157AD3d,2018-01-09,2,1,HIGH,bronx,1,5,Friedman; Richter; Gesmer; Kern; Moulton
12286995,157AD3d,2018-01-09,2,1,HIGH,new york,1,5,Friedman; Richter; Gesmer; Kern; Moulton
12287012,157AD3d,2018-01-09,2,1,HIGH,new york+bronx,1,5,Friedman; Richter; Gesmer; Kern; Moulton
12287030,157AD3d,2018-01-09,2,1,HIGH,bronx,1,5,Friedman; Richter; Gesmer; Kern; Moulton
12287041,157AD3d,2018-01-09,2,1,HIGH,new york,1,4,Tom; Kapnick; Webber; Oing
12287076,157AD3d,2018-01-09,2,1,HIGH,new york,1,4,Tom; Kapnick; Webber; Oing
12287111,157AD3d,2018-01-09,2,1,HIGH,bronx,1,4,Tom; Kapnick; Webber; Oing
12287128,157AD3d,2018-01-09,2,1,HIGH,new york,1,4,Tom; Kapnick; Webber; Oing
12287192,157AD3d,2018-01-09,2,1,HIGH,bronx,1,4,Tom; Kapnick; Webber; Oing
12287209,157AD3d,2018-01-09,2,1,HIGH,new york,1,4,Tom; Kapnick; Webber; Oing
12287226,157AD3d,2018-01-09,2,1,HIGH,new york,1,4,Tom; Kapnick; Webber; Oing
12287243,157AD3d,2018-01-09,2,1,HIGH,new york,1,4,Tom; Kapnick; Webber; Oing
12287279,157AD3d,2018-01-11,2,1,HIGH,new york,1,5,Richter; Kapnick; Webber; Oing; Singh
12287300,157AD3d,2018-01-11,2,1,HIGH,new york,1,4,Gische; Kapnick; Oing; Moulton
12287335,157AD3d,2018-01-11,2,1,HIGH,new york+bronx,1,5,Renwick; Richter; Manzanet-Daniels; Kahn; Kern
12287397,157AD3d,2018-01-11,2,1,HIGH,bronx,1,5,Renwick; Richter; Manzanet-Daniels; Kahn; Kern
