case_id,volume,decision_date,stored_dept,corrected_dept,confidence,county,panel_dept,panel_used,panel
12294686,157AD3d,2018-01-04,3,4,LOW,,4,2,Lynch; Clark; Pritzker
12294717,157AD3d,2018-01-04,3,4,LOW,,4,1,Lynch; Devine; Aarons
12294778,157AD3d,2018-01-04,3,4,LOW,,4,2,Lynch; Devine; Pritzker
12294820,157AD3d,2018-01-04,3,4,LOW,,4,2,Clark; Aarons; Pritzker
12294947,157AD3d,2018-01-04,3,4,LOW,,4,1,Egan Jr.; Lynch; Devine
12295068,157AD3d,2018-01-04,3,4,LOW,,4,1,Lynch; Clark; Aarons
12295100,157AD3d,2018-01-04,3,4,LOW,,4,1,Clark; Mulvey; Aarons
12295158,157AD3d,2018-01-04,3,4,LOW,,4,2,Egan Jr.; Devine; Pritzker
12295303,157AD3d,2018-01-11,3,4,LOW,,4,1,Clark; Mulvey; Aarons
12295324,157AD3d,2018-01-11,3,4,LOW,,4,1,Egan Jr.; Lynch; Devine
12295365,157AD3d,2018-01-11,3,4,LOW,,4,2,Egan Jr.; Devine; Pritzker
12295384,157AD3d,2018-01-11,3,4,LOW,,4,1,Egan Jr.; Lynch; Pritzker
12295403,157AD3d,2018-01-11,3,4,LOW,,4,2,Clark; Aarons; Pritzker
12295421,157AD3d,2018-01-11,3,4,LOW,,4,1,Lynch; Devine; Mulvey
12295447,157AD3d,2018-01-11,3,4,LOW,,4,2,Lynch; Devine; Pritzker
12295818,157AD3d,2018-01-11,3,4,LOW,,4,1,Lynch; Aarons; Pritzker
12295844,157AD3d,2018-01-11,3,4,LOW,,4,1,Lynch; Aarons; Pritzker
12295933,157AD3d,2018-01-18,3,4,LOW,,4,1,Egan Jr.; Devine; Mulvey
12295945,157AD3d,2018-01-18,3,4,LOW,,4,1,Egan Jr.; Devine; Rumsey
12295966,157AD3d,2018-01-18,3,4,LOW,,4,1,Devine; Mulvey; Rumsey
12295996,157AD3d,2018-01-18,3,4,LOW,,4,1,McCarthy; Egan Jr.; Clark; Rumsey
12296006,157AD3d,2018-01-18,3,4,LOW,,4,1,Egan Jr.; Devine; Rumsey
12296026,157AD3d,2018-01-18,3,4,LOW,,4,1,Devine; Mulvey; Rumsey
12296051,157AD3d,2018-01-18,3,4,LOW,,4,1,Egan Jr.; Devine; Mulvey
12296079,157AD3d,2018-01-18,3,4,LOW,,4,2,Clark; Aarons; Pritzker
12296098,157AD3d,2018-01-18,3,4,LOW,,4,1,Lynch; Clark; Aarons
12296123,157AD3d,2018-01-18,3,4,LOW,,4,1,Lynch; Clark; Aarons
12296140,157AD3d,2018-01-18,3,4,LOW,,4,1,Clark; Mulvey; Rumsey
12296163,157AD3d,2018-01-18,3,4,LOW,,4,1,Lynch; Aarons; Pritzker
12296198,157AD3d,2018-01-18,3,4,LOW,,4,2,Clark; Aarons; Pritzker
12296470,157AD3d,2018-01-25,3,4,LOW,,4,2,Devine; Clark; Aarons; Rumsey
12296484,157AD3d,2018-01-25,3,4,LOW,,4,2,Egan Jr.; Devine; Clark; Mulvey
12296508,157AD3d,2018-01-25,3,4,LOW,,4,1,Egan Jr.; Lynch; Clark; Mulvey
12296526,157AD3d,2018-01-25,3,4,LOW,,4,2,McCarthy; Lynch; Devine; Pritzker
12296540,157AD3d,2018-01-25,3,4,LOW,,4,2,Clark; Mulvey; Rumsey; Pritzker
12296556,157AD3d,2018-01-25,3,4,LOW,,4,1,Egan Jr.; Devine; Aarons; Rumsey
12296574,157AD3d,2018-01-25,3,4,LOW,,4,1,Egan Jr.; Lynch; Rumsey; Pritzker
12296590,157AD3d,2018-01-25,3,4,LOW,,4,2,Devine; Clark; Aarons; Rumsey
12463312,157AD3d,2018-01-04,3,4,LOW,,4,2,Lynch; Clark; Pritzker
12463313,157AD3d,2018-01-04,3,4,LOW,,4,1,Devine; Mulvey; Aarons
12463317,157AD3d,2018-01-04,3,4,LOW,,4,1,Egan Jr.; Lynch; Pritzker
12463319,157AD3d,2018-01-04,3,4,LOW,,4,1,Clark; Aarons; Rumsey
12463323,157AD3d,2018-01-11,3,4,LOW,,4,2,Lynch; Devine; Pritzker
12463326,157AD3d,2018-01-11,3,4,LOW,,4,1,Lynch; Clark; Aarons
12463329,157AD3d,2018-01-11,3,4,LOW,,4,2,Lynch; Devine; Pritzker
12463332,157AD3d,2018-01-11,3,4,LOW,,4,1,Lynch; Devine; Aarons
12463334,157AD3d,2018-01-11,3,4,LOW,,4,1,Devine; Mulvey; Aarons
12463336,157AD3d,2018-01-18,3,4,LOW,,4,1,Devine; Mulvey; Rumsey
12463337,157AD3d,2018-01-18,3,4,LOW,,4,1,Lynch; Aarons; Pritzker
12463342,157AD3d,2018-01-18,3,4,LOW,,4,1,Egan Jr.; Lynch; Aarons; Pritzker
12463343,157AD3d,2018-01-18,3,4,LOW,,4,2,Egan Jr.; Devine; Pritzker
12463349,157AD3d,2018-01-25,3,4,LOW,,4,1,Devine; Mulvey; Aarons; Rumsey
12463351,157AD3d,2018-01-25,3,4,LOW,,4,2,Clark; Mulvey; Aarons; Pritzker
12463353,157AD3d,2018-01-25,3,4,LOW,,4,1,Egan Jr.; Lynch; Rumsey; Pritzker
12463356,157AD3d,2018-01-25,3,4,LOW,,4,2,Egan Jr.; Devine; Aarons; Pritzker
12463358,157AD3d,2018-01-25,3,4,LOW,,4,2,Lynch; Devine; Clark; Rumsey
12524174,157AD3d,2018-01-04,3,4,LOW,,4,1,Clark; Mulvey; Aarons
12524175,157AD3d,2018-01-04,3,4,LOW,,4,1,Egan Jr.; Lynch; Pritzker
12524176,157AD3d,2018-01-04,3,4,LOW,,4,2,Lynch; Devine; Pritzker
12524177,157AD3d,2018-01-04,3,4,LOW,,4,1,Lynch; Aarons; Pritzker
12524178,157AD3d,2018-01-04,3,4,LOW,,4,1,Lynch; Devine; Aarons
12524179,157AD3d,2018-01-04,3,4,LOW,,4,1,Devine; Mulvey; Aarons
12524180,157AD3d,2018-01-11,3,4,LOW,,4,1,Devine; Mulvey; Aarons
12524182,157AD3d,2018-01-11,3,4,LOW,,4,1,Clark
12524183,157AD3d,2018-01-11,3,4,LOW,,4,1,Lynch; Devine; Mulvey
12524184,157AD3d,2018-01-11,3,4,LOW,,4,1,Lynch; Devine; Mulvey
12524185,157AD3d,2018-01-11,3,4,LOW,,4,2,Lynch; Clark; Aarons; Pritzker
12524186,157AD3d,2018-01-11,3,4,LOW,,4,1,Clark; Mulvey; Rumsey
12524187,157AD3d,2018-01-11,3,4,LOW,,4,1,Egan Jr.; Lynch; Devine
12524188,157AD3d,2018-01-11,3,4,LOW,,4,1,Devine; Mulvey; Aarons
12524189,157AD3d,2018-01-18,3,4,LOW,,4,2,Clark; Aarons; Pritzker
12524190,157AD3d,2018-01-18,3,4,LOW,,4,2,Lynch; Clark; Pritzker
12524191,157AD3d,2018-01-18,3,4,LOW,,4,1,Clark; Mulvey; Rumsey
12524192,157AD3d,2018-01-18,3,4,LOW,,4,1,Devine; Mulvey; Rumsey
12524193,157AD3d,2018-01-18,3,4,LOW,,4,1,McCarthy; Clark; Mulvey; Rumsey
12524194,157AD3d,2018-01-18,3,4,LOW,,4,1,Mulvey; Aarons; Rumsey; Pritzker
12524195,157AD3d,2018-01-25,3,4,LOW,,4,1,McCarthy; Egan Jr.; Clark; Rumsey
12524196,157AD3d,2018-01-25,3,4,LOW,,4,1,Egan Jr.; Lynch; Clark; Mulvey
12524197,157AD3d,2018-01-25,3,4,LOW,,4,2,Clark; Mulvey; Rumsey; Pritzker
12524198,157AD3d,2018-01-25,3,4,LOW,,4,1,McCarthy; Lynch; Clark; Aarons
12524199,157AD3d,2018-01-25,3,4,LOW,,4,1,Lynch; Mulvey; Aarons; Pritzker
12524200,157AD3d,2018-01-25,3,4,LOW,,4,2,Lynch; Clark; Aarons; Pritzker
12524201,157AD3d,2018-01-25,3,4,LOW,,4,1,Lynch; Mulvey; Rumsey; Pritzker
12524202,157AD3d,2018-01-25,3,4,LOW,,4,2,McCarthy; Devine; Aarons; Pritzker
12524203,157AD3d,2018-01-25,3,4,LOW,,4,1,Lynch; Clark; Mulvey; Aarons
12524204,157AD3d,2018-01-25,3,4,LOW,,4,1,Lynch; Devine; Aarons; Rumsey
12524205,157AD3d,2018-01-25,3,4,LOW,,4,1,Lynch; Devine; Aarons; Rumsey
12524206,157AD3d,2018-01-25,3,4,LOW,,4,1,Egan Jr.; Mulvey; Aarons; Pritzker
12523261,158AD3d,2018-01-11,1,2,CONFLICT,nassau,1,4,Renwick; Andrias; Gische; Kapnick
12523670,158AD3d,2018-02-01,3,4,LOW,,4,1,Egan Jr.; Lynch; Devine; Aarons
12523671,158AD3d,2018-02-01,3,4,LOW,,4,1,Egan Jr.; Lynch; Mulvey; Pritzker
12523672,158AD3d,2018-02-01,3,4,LOW,,4,2,Clark; Mulvey; Aarons; Pritzker
12523674,158AD3d,2018-02-01,3,4,LOW,,4,1,Egan Jr.; Devine; Mulvey; Rumsey
12523675,158AD3d,2018-02-01,3,4,LOW,,4,2,Lynch; Clark; Aarons; Pritzker
12523677,158AD3d,2018-02-01,3,4,LOW,,4,1,Clark; Mulvey
12523678,158AD3d,2018-02-01,3,4,LOW,,4,2,Lynch; Clark; Aarons; Pritzker
12523679,158AD3d,2018-02-01,3,4,LOW,,4,1,Clark; Aarons
12523680,158AD3d,2018-02-01,3,4,LOW,,4,2,Devine; Clark; Aarons; Rumsey
12523681,158AD3d,2018-02-01,3,4,LOW,,4,1,Egan Jr.; Devine; Mulvey; Rumsey
12523682,158AD3d,2018-02-01,3,4,LOW,,4,2,Clark; Aarons; Pritzker
12523683,158AD3d,2018-02-01,3,4,LOW,,4,2,McCarthy; Lynch; Devine; Pritzker
12523686,158AD3d,2018-02-01,3,4,LOW,,4,2,Egan Jr.; Devine; Mulvey; Pritzker
12523687,158AD3d,2018-02-01,3,4,LOW,,4,2,Lynch; Clark; Aarons; Pritzker
12523688,158AD3d,2018-02-01,3,4,LOW,,4,2,Lynch; Clark; Rumsey; Pritzker
12523689,158AD3d,2018-02-01,3,4,LOW,,4,1,Egan Jr.; Devine; Mulvey; Rumsey
12523690,158AD3d,2018-02-01,3,4,LOW,,4,2,Lynch; Clark; Aarons; Pritzker
12523692,158AD3d,2018-02-01,3,4,LOW,,4,1,Egan Jr.; Devine; Mulvey; Rumsey
12523694,158AD3d,2018-02-01,3,4,LOW,,4,1,Egan Jr.; Lynch; Aarons; Pritzker
12523696,158AD3d,2018-02-01,3,4,LOW,,4,2,Lynch; Clark; Aarons; Pritzker
12523697,158AD3d,2018-02-01,3,4,LOW,,4,1,Devine; Mulvey; Aarons; Rumsey
12523700,158AD3d,2018-02-08,3,4,LOW,,4,1,Devine; Mulvey; Aarons
12523701,158AD3d,2018-02-08,3,4,LOW,,4,1,Devine; Aarons; Rumsey
12523703,158AD3d,2018-02-08,3,4,LOW,,4,1,Egan Jr.; Lynch; Devine
12523704,158AD3d,2018-02-08,3,4,LOW,,4,1,McCarthy; Mulvey; Pritzker
12523706,158AD3d,2018-02-08,3,4,LOW,,4,1,Egan Jr.; Lynch; Clark
12523708,158AD3d,2018-02-08,3,4,LOW,,4,2,Devine; Clark; Rumsey
12523709,158AD3d,2018-02-08,3,4,LOW,,4,2,Egan Jr.; Devine; Clark
12523710,158AD3d,2018-02-08,3,4,LOW,,4,1,Mulvey; Aarons; Pritzker
12523711,158AD3d,2018-02-08,3,4,LOW,,4,2,Clark; Aarons; Pritzker
12523713,158AD3d,2018-02-08,3,4,LOW,,4,1,McCarthy; Aarons; Pritzker
12523715,158AD3d,2018-02-08,3,4,LOW,,4,1,Clark; Aarons; Rumsey
12523716,158AD3d,2018-02-08,3,4,LOW,,4,1,Devine; Mulvey; Rumsey
12523726,158AD3d,2018-02-08,3,4,LOW,,4,1,Clark; Mulvey; Aarons; Rumsey
12523728,158AD3d,2018-02-08,3,4,LOW,,4,2,Lynch; Clark; Mulvey; Pritzker
12523733,158AD3d,2018-02-15,3,4,LOW,,4,2,Clark; Mulvey; Pritzker
12523734,158AD3d,2018-02-15,3,4,LOW,,4,2,Lynch; Devine; Clark
12523736,158AD3d,2018-02-15,3,4,LOW,,4,1,Egan Jr.; Lynch; Devine
12523737,158AD3d,2018-02-15,3,4,LOW,,4,2,Devine; Clark; Rumsey
12523738,158AD3d,2018-02-15,3,4,LOW,,4,2,Lynch; Devine; Clark
12523739,158AD3d,2018-02-15,3,4,LOW,,4,2,Lynch; Devine; Clark
12523740,158AD3d,2018-02-15,3,4,LOW,,4,2,Clark; Mulvey; Pritzker
12523741,158AD3d,2018-02-15,3,4,LOW,,4,2,Devine; Aarons; Pritzker
12523742,158AD3d,2018-02-15,3,4,LOW,,4,1,McCarthy; Egan Jr.; Pritzker
12523743,158AD3d,2018-02-15,3,4,LOW,,4,2,Lynch; Devine; Clark
12523744,158AD3d,2018-02-15,3,4,LOW,,4,1,Aarons; Rumsey; Pritzker
12523747,158AD3d,2018-02-15,3,4,LOW,,4,1,McCarthy; Egan Jr.; Pritzker
12523748,158AD3d,2018-02-15,3,4,LOW,,4,1,Devine; Aarons; Rumsey
12523750,158AD3d,2018-02-15,3,4,LOW,,4,1,Aarons; Rumsey; Pritzker
12523751,158AD3d,2018-02-22,3,4,LOW,,4,1,McCarthy; Aarons; Pritzker
12523752,158AD3d,2018-02-22,3,4,LOW,,4,1,McCarthy; Mulvey; Pritzker
12523753,158AD3d,2018-02-22,3,4,LOW,,4,1,Mulvey; Aarons; Pritzker
12523754,158AD3d,2018-02-22,3,4,LOW,,4,1,Clark; Mulvey; Rumsey
12523755,158AD3d,2018-02-22,3,4,LOW,,4,1,Aarons; Rumsey; Pritzker
12523756,158AD3d,2018-02-22,3,4,LOW,,4,1,Egan Jr.; Lynch; Pritzker
12523757,158AD3d,2018-02-22,3,4,LOW,,4,2,Devine; Rumsey; Pritzker
12523758,158AD3d,2018-02-22,3,4,LOW,,4,1,McCarthy; Lynch; Pritzker
12523759,158AD3d,2018-02-22,3,4,LOW,,4,1,Mulvey; Aarons; Pritzker
12523760,158AD3d,2018-02-22,3,4,LOW,,4,1,Lynch; Clark; Rumsey
12523766,158AD3d,2018-02-22,3,4,LOW,,4,1,Egan Jr.; Lynch; Clark
12523770,158AD3d,2018-02-22,3,4,LOW,,4,1,McCarthy; Lynch; Pritzker
12523771,158AD3d,2018-02-22,3,4,LOW,,4,2,Devine; Rumsey; Pritzker
12523773,158AD3d,2018-02-22,3,4,LOW,,4,1,Aarons; Rumsey; Pritzker
12523775,158AD3d,2018-02-22,3,4,LOW,,4,1,Devine; Mulvey; Aarons
12523776,158AD3d,2018-02-22,3,4,LOW,,4,1,Clark; Mulvey; Rumsey
12524212,158AD3d,2018-01-18,3,4,LOW,,4,1,Clark; Mulvey; Rumsey
12524274,158AD3d,2018-02-01,3,4,LOW,,4,1,Egan Jr.; Devine; Mulvey; Rumsey
12524275,158AD3d,2018-02-01,3,4,LOW,,4,1,Lynch; Devine; Mulvey; Rumsey
12524276,158AD3d,2018-02-01,3,4,LOW,,4,1,Egan Jr.; Devine; Mulvey; Rumsey
12524277,158AD3d,2018-02-01,3,4,LOW,,4,1,Egan Jr.; Clark; Mulvey; Rumsey
12524278,158AD3d,2018-02-01,3,4,LOW,,4,1,Lynch; Devine; Aarons; Rumsey
12524279,158AD3d,2018-02-01,3,4,LOW,,4,2,Lynch; Clark; Mulvey; Pritzker
12524280,158AD3d,2018-02-08,3,4,LOW,,4,1,Mulvey; Aarons; Pritzker
12524281,158AD3d,2018-02-08,3,4,LOW,,4,1,Lynch; Clark; Rumsey
12524282,158AD3d,2018-02-08,3,4,LOW,,4,2,Lynch; Devine; Clark
12524283,158AD3d,2018-02-08,3,4,LOW,,4,2,Devine; Mulvey; Aarons; Pritzker
12524285,158AD3d,2018-02-08,3,4,LOW,,4,2,Lynch; Devine; Clark; Mulvey
12524286,158AD3d,2018-02-08,3,4,LOW,,4,1,McCarthy; Egan Jr.; Lynch; Devine
12524287,158AD3d,2018-02-08,3,4,LOW,,4,2,Devine; Aarons; Rumsey; Pritzker
12524290,158AD3d,2018-02-08,3,4,LOW,,4,2,Egan Jr.; Devine; Clark; Rumsey
12524291,158AD3d,2018-02-08,3,4,LOW,,4,2,McCarthy; Clark; Mulvey; Pritzker
12524293,158AD3d,2018-02-15,3,4,LOW,,4,1,Clark; Mulvey; Aarons
12524294,158AD3d,2018-02-15,3,4,LOW,,4,2,Clark; Aarons; Pritzker
12524295,158AD3d,2018-02-22,3,4,LOW,,4,2,Devine; Aarons; Pritzker
12524296,158AD3d,2018-02-22,3,4,LOW,,4,1,Aarons; Rumsey; Pritzker
12524297,158AD3d,2018-02-22,3,4,LOW,,4,1,Clark; Mulvey; Aarons
12524298,158AD3d,2018-02-22,3,4,LOW,,4,1,Lynch; Clark; Rumsey
12524299,158AD3d,2018-02-22,3,4,LOW,,4,1,Lynch; Devine; Rumsey
12524300,158AD3d,2018-02-22,3,4,LOW,,4,2,Lynch; Devine; Clark
